artist1.x,artist,track,url,artist1.y,birth,death,composition_year,source
Niccolò Paganini,Niccolò Paganini (1782-1840),"Paganini: 24 Caprices, Op. 1: No. 2 in B Minor",https://open.spotify.com/track/6NiKl1DJJUj7aJut1JbElY,Niccolò Paganini,1782,1840.0,,NA
Frédéric Chopin,Frédéric Chopin (1810-1849),"Chopin: Nocturne No. 20 in C-Sharp Minor, Op. Posth.",https://open.spotify.com/track/2MSgFefjK0T7Iwjvr3OKqV,Frédéric Chopin,1810,1849.0,,NA
Anton Bruckner,Anton Bruckner (1824-1896),"Symphony No. 8 in C Minor, WAB 108: IV. Finale. Feierlich, nicht schnell (Ed. R. Haas from 1887 and 1890 versions)",https://open.spotify.com/track/6pG5ExZiqflW7jFrd8KAtb,Anton Bruckner,1824,1896.0,,NA
Léonin,Léonin (1135-1201),Iudea et Iherusalem,https://open.spotify.com/track/26Hrxa5tJpSdUsldpvSa73,Léonin,1135,1201.0,,NA
Thibaut de Champagne,Thibaut de Champagne (1201-1253),Puisk'il m'estuet,https://open.spotify.com/track/1L2NfH5XrB0qkLthXRbCpS,Thibaut de Champagne,1201,1253.0,,NA
Henry Purcell,Henry Purcell (1659-1695),"Abdelazer, Z.570: 2. Rondeau",https://open.spotify.com/track/5TLI2Zez1KvXru9DHYC99Z,Henry Purcell,1659,1695.0,,NA
Jean-Baptiste Lully,Jean-Baptiste Lully (1632-1687),Marche pour la cérémonie des Turcs,https://open.spotify.com/track/5UO0mq9xiBiwwfA91u8YQn,Jean-Baptiste Lully,1632,1687.0,,NA
György Ligeti,György Ligeti (1923-2006),Lux aeterna,https://open.spotify.com/track/7ad0L78kp6iJrHZikRvkJj,György Ligeti,1923,2006.0,,NA
Matteo da Perugia,Matteo da Perugia (1400-1416),Ave sancta mundi salus - Agnus dei,https://open.spotify.com/track/2CFT3vI5JQGxQOkpDS1OTQ,Matteo da Perugia,1400,1416.0,,NA
Pierre Attaingnant,Pierre Attaingnant (1494-1551),La Magdalena,https://open.spotify.com/track/5OYdwMSKwnZR9LnWenChvQ,Pierre Attaingnant,1494,1551.0,,NA
Georg Philipp Telemann,Georg Philipp Telemann (1681-1767),"Recorder Concerto in C Major, TWV 51:C1: IV. Tempo di Minuet",https://open.spotify.com/track/4DInMstD7cdWfnSHwtB7UI,Georg Philipp Telemann,1681,1767.0,1710.0,database
Georg Philipp Telemann,Georg Philipp Telemann (1681-1767),"Sonata for 4 Violins in G Minor, TWV 40:201: I. Largo e staccato",https://open.spotify.com/track/0LWHku6CeveGybTW8tNdlb,Georg Philipp Telemann,1681,1767.0,1739.0,ai
Jean-Baptiste Lully,Jean-Baptiste Lully (1632-1687),"Lully: Ballet des muses, LWV 32: Air. ""Trop indiscret Amour"" (Euridice)",https://open.spotify.com/track/2zUoxM02p2aSy7LOfI5rCy,Jean-Baptiste Lully,1632,1687.0,,NA
György Ligeti,György Ligeti (1923-2006),Ligeti: Atmosphères,https://open.spotify.com/track/3HVUDpc6RNoY4d1zF5F287,György Ligeti,1923,2006.0,,NA
Franz Schubert,Franz Schubert (1797-1828),"Winterreise, D. 911: No. 5, Der Lindenbaum",https://open.spotify.com/track/5mMJLbhUc07A6x23HFypsv,Franz Schubert,1797,1828.0,,NA
Gioachino Rossini,Gioachino Rossini (1792-1868),Il barbiere di Siviglia: Overture (Sinfonia),https://open.spotify.com/track/1chTrqszWQEOP4RsNuOZf7,Gioachino Rossini,1792,1868.0,,NA
Jean Sibelius,Jean Sibelius (1865-1957),"13 Pieces, Op. 76: No. 2 Etude",https://open.spotify.com/track/4StypY6VnE9BqgqQ0ni1tg,Jean Sibelius,1865,1957.0,1919.0,ai
Robert Schumann,Robert Schumann (1810-1856),"Papillons, Op. 2: No. 11",https://open.spotify.com/track/2mDEaxFxyzecnvTvrxxM1h,Robert Schumann,1810,1856.0,,NA
Sergei Rachmaninoff,Sergei Rachmaninoff (1873-1943),"Piano Concerto No. 2 in C Minor, Op. 18: III. Allegro scherzando",https://open.spotify.com/track/0gmDkDRe0WL66N7Vt2Xr3H,Sergei Rachmaninoff,1873,1943.0,1943.0,database
Sergei Prokofiev,Sergei Prokofiev (1891-1953),"Prokofiev: Violin Concerto No. 2 in G Minor, Op. 63: I. Allegro moderato",https://open.spotify.com/track/0wonrrca3HtSgjKrN2iYsB,Sergei Prokofiev,1891,1953.0,1946.0,database
François Couperin,François Couperin (1668-1733),Les baricades mystérieuses - Arranged By Göran Söllscher,https://open.spotify.com/track/6sLr7HzQe2xQVhBmhrT3vU,François Couperin,1668,1733.0,,NA
