artist1.x,artist,track,url,artist1.y,birth,death
Antonio Vivaldi,Antonio Vivaldi (1678-1741),"Concerto for Lute, 2 Violins and Continuo in D major, RV 93: 3. Allegro",https://open.spotify.com/track/23PxZxEAHqQk7ZmyMAwQQQ,Antonio Vivaldi,1678,1741
Luigi Boccherini,Luigi Boccherini (1743-1805),"String Quintet in E Major, G. 275 (Op. 11/5): Minuet",https://open.spotify.com/track/3MGdBHevIGU82NqTM2S1PF,Luigi Boccherini,1743,1805
Ludwig van Beethoven,Ludwig van Beethoven (1770-1827),"Piano Concerto No. 3 in C Minor, Op. 37: III. Rondo. Allegro - Live",https://open.spotify.com/track/5RmuUbJ0lCZxRw2ynCUgiT,Ludwig van Beethoven,1770,1827
Edvard Grieg,Edvard Grieg (1843-1907),"Peer Gynt Suite No. 1, Op. 46: I. Morning Mood",https://open.spotify.com/track/0awWxz7WRKdSpU9RVZ5PVK,Edvard Grieg,1843,1907
Aimeric de Peguilhan,Aimeric de Peguilhan (1175-1230),En amor trob alques en que'm refraing,https://open.spotify.com/track/1WOWuUEsCcBdpOy1LTWMV9,Aimeric de Peguilhan,1175,1230
Johannes Ockeghem,Johannes Ockeghem (1420-1496),Intemerata Dei mater,https://open.spotify.com/track/13dTXGC6c4t9XPMaAzumtU,Johannes Ockeghem,1420,1496
Josquin des Prez,Josquin des Prez (1450-1521),Nunc dimittis,https://open.spotify.com/track/1T1KQvUWFXUUUrbwW06Rpy,Josquin Des Prez,1450,1521
Jacques Arcadelt,Jacques Arcadelt (1507-1568),Il bianco e dolce cigno: Il bianco e dolce cigno,https://open.spotify.com/track/33omoLPUPl3fk6WSlZlPzZ,Jacques Arcadelt,1507,1568
Orlando Gibbons,Orlando Gibbons (1583-1625),Pavan,https://open.spotify.com/track/2jaVkgkBqhb6OLH3qi4Qjr,Orlando Gibbons,1583,1625
Antonio Salieri,Antonio Salieri (1750-1825),"Sinfonia in D Major, ""La Veneziana"": III. Presto",https://open.spotify.com/track/3fD3bCLO1CZkV8csljRd0f,Antonio Salieri,1750,1825
Maurice Ravel,Maurice Ravel (1875-1937),Miroirs: III. Une barque sur l'océan,https://open.spotify.com/track/4JOEMgLkrHp8K1XNmyNffH,Maurice Ravel,1875,1937
Hildegard von Bingen,Hildegard von Bingen (1098-1179),O Euchari in leta via,https://open.spotify.com/track/21aOLjTFH10qpcgy6vvvXP,Hildegard von Bingen,1098,1179
Hildegard von Bingen,Hildegard von Bingen (1098-1179),O pastor animarum,https://open.spotify.com/track/13GsflnbTfLlqFOLkQOecX,Hildegard von Bingen,1098,1179
Hildegard von Bingen,Hildegard von Bingen (1098-1179),Ave generosa,https://open.spotify.com/track/6QRu2XN9CfaKtuvpOt3H4w,Hildegard von Bingen,1098,1179
Jehan de Lescurel,Jehan de Lescurel (1400-1430),"A vous, douce debonnaire (Rondeau) W!",https://open.spotify.com/track/5PYZ4IuguwQ5SvooWVF18U,Jehan de Lescurel,1400,1430
Jehan de Lescurel,Jehan de Lescurel (1400-1430),Gracïeusette (Virelai) W32,https://open.spotify.com/track/4fdD7nrpJ2GOrMzo7djSW8,Jehan de Lescurel,1400,1430
Matteo da Perugia,Matteo da Perugia (1400-1416),Rondeau-refrain,https://open.spotify.com/track/19VpdDSEMZSIf8PiXDKk4a,Matteo da Perugia,1400,1416
Matteo da Perugia,Matteo da Perugia (1400-1416),Pres du soloil deduissant s’esbanoye,https://open.spotify.com/track/63BgaB61VpsJDbhEjLbONE,Matteo da Perugia,1400,1416
Baude Cordier,Baude Cordier (1500-1530),Tout par compas suy composés,https://open.spotify.com/track/7pwd4GXi4szGLhNPFSRfSW,Baude Cordier,1500,1530
Wolfgang Amadeus Mozart,Wolfgang Amadeus Mozart (1756-1791),"Requiem in D Minor, K. 626: Sequence: VI. Lacrimosa dies illa",https://open.spotify.com/track/5p3xMIHQ6YoAIaSgZeOkNa,Wolfgang Amadeus Mozart,1756,1791
Ludwig van Beethoven,Ludwig van Beethoven (1770-1827),"Symphony No. 5 in C Minor, Op. 67: I. Allegro con brio",https://open.spotify.com/track/2ygeBLTP9uu3OW3VTulD8N,Ludwig van Beethoven,1770,1827
Johann Stamitz,Johann Stamitz (1717-1757),Symphony in G Major: III. Presto,https://open.spotify.com/track/5XNmZTTVL33LPjUWkblOMW,Johann Stamitz,1717,1757
Edvard Grieg,Edvard Grieg (1843-1907),"Lyric Pieces, Book 1, Op. 12: Arietta",https://open.spotify.com/track/2YIaZvqivJGIFvyeDR2YUr,Edvard Grieg,1843,1907
Johannes Brahms,Johannes Brahms (1833-1897),"16 Waltzes, Op. 39 (Version for Solo Piano): No. 3 in G-Sharp Minor",https://open.spotify.com/track/5eqhhghDRfP4hVqBTTxUv5,Johannes Brahms,1833,1897
Arnold Schoenberg,Arnold Schoenberg (1874-1951),"Schoenberg: Verklärte Nacht, Op. 4: I. Grave (1943 Version)",https://open.spotify.com/track/6gz6rxRge7BLRreM9uJXxI,Arnold Schoenberg,1874,1951
Arnold Schoenberg,Arnold Schoenberg (1874-1951),"Schoenberg: 6 Little Piano Pieces, Op. 19: No. 1, Leicht, zart",https://open.spotify.com/track/6ISQeh1wDQtGLt6fDHtS0C,Arnold Schoenberg,1874,1951
Adam de Saint Victor,Adam de Saint Victor (1068-1146),In natale,https://open.spotify.com/track/5xwkrWrVBRCmTVe9dmpWTN,Adam de Saint Victor,1068,1146
Guillaume de Machaut,Guillaume de Machaut (1300-1377),Messe de Nostre Dame: Kyrie,https://open.spotify.com/track/0GdtnJydzs1827lp6s5Gfp,Guillaume de Machaut,1300,1377
